,conversation_length,customer_text_length,agent_text_length,customer_word_count,agent_word_count,customer_sentence_count,agent_sentence_count,customer_question_marks,customer_exclamation_marks,customer_turns,agent_turns,total_turns,turn_ratio,customer_initial_sentiment,customer_final_sentiment,sentiment_volatility,customer_sentiment_shift
conversation_length,1.0,0.7567644218780718,0.7097694064030683,0.7580541487461728,0.7040208824858727,0.7580108793899509,0.5813991323538025,0.4337027348873747,0.31587702466943096,0.42424594918378905,0.3418934825872336,0.3858014185618892,0.3932274627025431,-0.06533447202835933,0.3633193363844087,0.39081807924455525,0.28178731615992764
customer_text_length,0.7567644218780718,1.0,0.07864654567346997,0.9977439443135749,0.07430407255463085,0.9546290077936523,0.00013422822034152813,0.5778593109631825,0.500764515818647,-0.021807548973609547,-0.1288516049979241,-0.07731162186169727,0.3878669276932311,-0.01934659520567978,0.5598180452159779,0.34859279382690184,0.37221081159951896
agent_text_length,0.7097694064030683,0.07864654567346997,1.0,0.08308081481633806,0.9953532493342122,0.12108354115619069,0.8709813484914092,0.04049869288681612,-0.05745235226337589,0.6256720809260488,0.6162069963877513,0.6268215930365788,0.1736156918351593,-0.07626133858946597,-0.03834459078718485,0.2253389474483088,0.033636561236517364
customer_word_count,0.7580541487461728,0.9977439443135749,0.08308081481633806,1.0,0.07995881161597453,0.9550612470519467,0.0021512207405858983,0.5913311963135034,0.5012144662115309,-0.017661536268817186,-0.1248136393029775,-0.07318140541184631,0.39012496817586917,-0.012171166717195928,0.5545321900429212,0.34801791758323186,0.3633669670805866
agent_word_count,0.7040208824858727,0.07430407255463085,0.9953532493342122,0.07995881161597453,1.0,0.11732573287082561,0.8779875865499187,0.030208293843991502,-0.05459366353954215,0.6252027464288498,0.6179445867814548,0.6274877155687119,0.1659283546769088,-0.07771022031777992,-0.03784232225197903,0.22659233897411052,0.035061517116309
customer_sentence_count,0.7580108793899509,0.9546290077936523,0.12108354115619069,0.9550612470519467,0.11732573287082561,1.0,0.07472857448907004,0.6433006761451909,0.507797602241155,0.09023190195453426,-0.014880219268950718,0.03680712329842418,0.40229532327129874,-0.004274069858840516,0.5189939763038605,0.3292865278935895,0.3346557779364465
agent_sentence_count,0.5813991323538025,0.00013422822034152813,0.8709813484914092,0.0021512207405858983,0.8779875865499187,0.07472857448907004,1.0,-0.10318553437688063,-0.09952471650410377,0.7272282031696118,0.7319602592060176,0.7366914200340998,0.14323156455424044,-0.12284194996213431,-0.09784209407035549,0.20258498304434674,0.031145547358357638
customer_question_marks,0.4337027348873747,0.5778593109631825,0.04049869288681612,0.5913311963135034,0.030208293843991502,0.6433006761451909,-0.10318553437688063,1.0,0.2732065815617837,-0.01771763906585219,-0.06685134628315306,-0.04326865314581897,0.2028369499735512,0.249956432163479,0.28342826561913037,0.07949048024492922,-0.009519225887144312
customer_exclamation_marks,0.31587702466943096,0.500764515818647,-0.05745235226337589,0.5012144662115309,-0.05459366353954215,0.507797602241155,-0.09952471650410377,0.2732065815617837,1.0,-0.08404003928709118,-0.1612373621056828,-0.12472742464570478,0.2520038443319123,-0.006843000471687698,0.37192468110201565,0.21387300951374022,0.2427040214457733
customer_turns,0.42424594918378905,-0.021807548973609547,0.6256720809260488,-0.017661536268817186,0.6252027464288498,0.09023190195453426,0.7272282031696118,-0.01771763906585219,-0.08404003928709118,1.0,0.9619251014865623,0.9899839573302357,0.2755210866379191,-0.07083681253485258,-0.1962275243806436,0.07916368445665603,-0.0713121945425738
agent_turns,0.3418934825872336,-0.1288516049979241,0.6162069963877513,-0.1248136393029775,0.6179445867814548,-0.014880219268950718,0.7319602592060176,-0.06685134628315306,-0.1612373621056828,0.9619251014865623,1.0,0.990876747340268,0.05159900658725195,-0.07393018007845618,-0.2864318046430201,0.04960761422780776,-0.1265536787987689
total_turns,0.3858014185618892,-0.07731162186169727,0.6268215930365788,-0.07318140541184631,0.6274877155687119,0.03680712329842418,0.7366914200340998,-0.04326865314581897,-0.12472742464570478,0.9899839573302357,0.990876747340268,1.0,0.16251336207395323,-0.07311837572469909,-0.2447164345649554,0.06466055099587292,-0.10053545036089322
turn_ratio,0.3932274627025431,0.3878669276932311,0.1736156918351593,0.39012496817586917,0.1659283546769088,0.40229532327129874,0.14323156455424044,0.2028369499735512,0.2520038443319123,0.2755210866379191,0.05159900658725195,0.16251336207395323,1.0,-0.0045254401744769775,0.29360272165197243,0.21733958148119825,0.19092603883472573
customer_initial_sentiment,-0.06533447202835933,-0.01934659520567978,-0.07626133858946597,-0.012171166717195928,-0.07771022031777992,-0.004274069858840516,-0.12284194996213431,0.249956432163479,-0.006843000471687698,-0.07083681253485258,-0.07393018007845618,-0.07311837572469909,-0.0045254401744769775,1.0,-0.011736778448947374,-0.4720256502271899,-0.7696251833084411
customer_final_sentiment,0.3633193363844087,0.5598180452159779,-0.03834459078718485,0.5545321900429212,-0.03784232225197903,0.5189939763038605,-0.09784209407035549,0.28342826561913037,0.37192468110201565,-0.1962275243806436,-0.2864318046430201,-0.2447164345649554,0.29360272165197243,-0.011736778448947374,1.0,0.2097751736858631,0.6474848909706223
sentiment_volatility,0.39081807924455525,0.34859279382690184,0.2253389474483088,0.34801791758323186,0.22659233897411052,0.3292865278935895,0.20258498304434674,0.07949048024492922,0.21387300951374022,0.07916368445665603,0.04960761422780776,0.06466055099587292,0.21733958148119825,-0.4720256502271899,0.2097751736858631,1.0,0.4936951026441763
customer_sentiment_shift,0.28178731615992764,0.37221081159951896,0.033636561236517364,0.3633669670805866,0.035061517116309,0.3346557779364465,0.031145547358357638,-0.009519225887144312,0.2427040214457733,-0.0713121945425738,-0.1265536787987689,-0.10053545036089322,0.19092603883472573,-0.7696251833084411,0.6474848909706223,0.4936951026441763,1.0
